ID,Subject1,Subject2,Subject3,Subject4,Grand-Total,Grade,Average-Compare
1,88.0,53.0,69.0,64.0,274.0,C,ABOVE
2,92.0,86.0,93.0,77.0,348.0,A,ABOVE
3,53.0,59.0,72.0,59.0,243.0,C,BELOW
4,60.0,52.0,85.0,62.0,259.0,C,BELOW
5,85.0,53.0,74.0,61.0,273.0,C,ABOVE
6,72.0,91.0,72.0,89.0,324.0,B,ABOVE
7,72.0,71.0,77.0,91.0,311.0,B,BELOW
8,89.0,60.0,94.0,59.0,302.0,B,BELOW
9,63.0,61.0,80.0,57.0,261.0,C,BELOW
10,86.0,84.0,65.0,72.0,307.0,B,BELOW
11,83.0,75.0,89.0,89.0,336.0,B,ABOVE
12,65.0,63.0,65.0,80.0,273.0,C,ABOVE
13,57.0,56.0,56.0,59.0,228.0,C,BELOW
14,60.0,52.0,77.0,75.0,264.0,C,BELOW
15,67.0,56.0,85.0,62.0,270.0,C,ABOVE
16,75.0,84.0,61.0,90.0,310.0,B,BELOW
17,64.0,53.0,56.0,77.0,250.0,C,BELOW
18,60.0,51.0,55.0,66.0,232.0,C,BELOW
19,83.0,70.0,69.0,65.0,287.0,C,ABOVE
20,57.0,76.0,75.0,59.0,267.0,C,ABOVE
21,63.0,84.0,52.0,74.0,273.0,C,ABOVE
22,61.0,64.0,65.0,53.0,243.0,C,BELOW
23,73.0,83.0,86.0,73.0,315.0,B,ABOVE
24,58.0,67.0,74.0,85.0,284.0,C,ABOVE
25,52.0,53.0,55.0,83.0,243.0,C,BELOW
26,57.0,81.0,55.0,70.0,263.0,C,BELOW
27,61.0,68.0,55.0,91.0,275.0,C,ABOVE
28,63.0,68.0,65.0,72.0,268.0,C,ABOVE
29,71.0,63.0,87.0,70.0,291.0,C,ABOVE
30,60.0,65.0,79.0,81.0,285.0,C,ABOVE
31,52.0,92.0,78.0,81.0,303.0,B,BELOW
32,66.0,65.0,80.0,73.0,284.0,C,ABOVE
33,73.0,51.0,55.0,58.0,237.0,C,BELOW
34,86.0,80.0,66.0,71.0,303.0,B,BELOW
35,91.0,69.0,69.0,90.0,319.0,B,ABOVE
36,70.0,78.0,72.0,78.0,298.0,C,ABOVE
37,66.0,94.0,89.0,52.0,301.0,B,BELOW
38,94.0,52.0,58.0,82.0,286.0,C,ABOVE
39,70.0,51.0,57.0,54.0,232.0,C,BELOW
40,92.0,90.0,55.0,84.0,321.0,B,ABOVE
41,66.0,81.0,86.0,75.0,308.0,B,BELOW
42,67.0,54.0,77.0,94.0,292.0,C,ABOVE
43,56.0,80.0,67.0,57.0,260.0,C,BELOW
44,83.0,72.0,77.0,86.0,318.0,B,ABOVE
45,55.0,79.0,79.0,66.0,279.0,C,ABOVE
46,53.0,57.0,50.0,84.0,244.0,C,BELOW
47,57.0,76.0,78.0,52.0,263.0,C,BELOW
48,69.0,51.0,69.0,90.0,279.0,C,ABOVE
49,68.0,72.0,56.0,81.0,277.0,C,ABOVE
50,85.0,63.0,55.0,54.0,257.0,C,BELOW
Grade report
Number of students in A Grade :: ,1
Number of students in B Grade :: ,14
Number of students in C Grade :: ,35
Number of students above their grade average :: ,26
Number of students below their grade average :: ,24
